"quarter","group","sub","congruence","order","rt"
"winter","3","1","Congruent","InCon",43
"winter","1","2","Congruent","InCon",43
"winter","3","3","Congruent","InCon",47
"winter","1","4","Congruent","InCon",39
"winter","2","5","Congruent","ConIn",41
"winter","1","6","Congruent","InCon",36
"winter","4","7","Congruent","ConIn",38
"winter","2","8","Congruent","ConIn",37
"winter","2","9","Congruent","ConIn",41
"winter","1","10","Congruent","InCon",39
"winter","1","11","Congruent","InCon",38
"winter","2","12","Congruent","ConIn",42
"winter","4","13","Congruent","ConIn",36
"winter","1","14","Congruent","InCon",39
"winter","4","15","Congruent","ConIn",36
"winter","1","16","Congruent","InCon",48
"winter","1","17","Congruent","InCon",38
"spring","1","18","Congruent","InCon",38
"spring","2","19","Congruent","ConIn",49
"spring","3","20","Congruent","InCon",44
"spring","4","21","Congruent","ConIn",40
"spring","4","22","Congruent","ConIn",37
"spring","4","23","Congruent","ConIn",37
"spring","4","24","Congruent","ConIn",25
"spring","4","25","Congruent","ConIn",40
"spring","4","26","Congruent","ConIn",38
"spring","4","27","Congruent","ConIn",38
"spring","4","28","Congruent","ConIn",38
"spring","4","29","Congruent","ConIn",41
"spring","4","30","Congruent","ConIn",9
"spring","4","31","Congruent","ConIn",32
"spring","2","32","Congruent","ConIn",47
"spring","2","33","Congruent","ConIn",40
"spring","1","34","Congruent","InCon",37
"spring","3","35","Congruent","InCon",40
"spring","3","36","Congruent","InCon",44
"spring","3","37","Congruent","InCon",45
"spring","3","38","Congruent","InCon",48
"spring","2","39","Congruent","ConIn",39
"spring","3","40","Congruent","InCon",45
"spring","3","41","Congruent","InCon",39
"spring","3","42","Congruent","InCon",40
"spring","3","43","Congruent","InCon",21
"spring","1","44","Congruent","InCon",45
"spring","1","45","Congruent","InCon",37
"spring","1","46","Congruent","InCon",39
"spring","1","47","Congruent","InCon",35
"spring","3","48","Congruent","InCon",40
"spring","2","49","Congruent","ConIn",35
"spring","1","50","Congruent","InCon",40
"spring","1","51","Congruent","InCon",35
"spring","1","52","Congruent","InCon",35
"spring","1","53","Congruent","InCon",35
"winter","3","1","Incongruent","InCon",27
"winter","1","2","Incongruent","InCon",29
"winter","3","3","Incongruent","InCon",36
"winter","1","4","Incongruent","InCon",38
"winter","2","5","Incongruent","ConIn",42
"winter","1","6","Incongruent","InCon",43
"winter","4","7","Incongruent","ConIn",44
"winter","2","8","Incongruent","ConIn",44
"winter","2","9","Incongruent","ConIn",44
"winter","1","10","Incongruent","InCon",45
"winter","1","11","Incongruent","InCon",45
"winter","2","12","Incongruent","ConIn",46
"winter","4","13","Incongruent","ConIn",47
"winter","1","14","Incongruent","InCon",48
"winter","4","15","Incongruent","ConIn",49
"winter","1","16","Incongruent","InCon",50
"winter","1","17","Incongruent","InCon",52
"spring","1","18","Incongruent","InCon",44
"spring","2","19","Incongruent","ConIn",40
"spring","3","20","Incongruent","InCon",38
"spring","4","21","Incongruent","ConIn",51
"spring","4","22","Incongruent","ConIn",44
"spring","4","23","Incongruent","ConIn",46
"spring","4","24","Incongruent","ConIn",42
"spring","4","25","Incongruent","ConIn",45
"spring","4","26","Incongruent","ConIn",47
"spring","4","27","Incongruent","ConIn",41
"spring","4","28","Incongruent","ConIn",42
"spring","4","29","Incongruent","ConIn",52
"spring","4","30","Incongruent","ConIn",25
"spring","4","31","Incongruent","ConIn",48
"spring","2","32","Incongruent","ConIn",51
"spring","2","33","Incongruent","ConIn",42
"spring","1","34","Incongruent","InCon",40
"spring","3","35","Incongruent","InCon",46
"spring","3","36","Incongruent","InCon",49
"spring","3","37","Incongruent","InCon",49
"spring","3","38","Incongruent","InCon",50
"spring","2","39","Incongruent","ConIn",44
"spring","3","40","Incongruent","InCon",29
"spring","3","41","Incongruent","InCon",47
"spring","3","42","Incongruent","InCon",49
"spring","3","43","Incongruent","InCon",34
"spring","1","44","Incongruent","InCon",45
"spring","1","45","Incongruent","InCon",44
"spring","1","46","Incongruent","InCon",43
"spring","1","47","Incongruent","InCon",37
"spring","3","48","Incongruent","InCon",45
"spring","2","49","Incongruent","ConIn",43
"spring","1","50","Incongruent","InCon",20
"spring","1","51","Incongruent","InCon",42
"spring","1","52","Incongruent","InCon",42
"spring","1","53","Incongruent","InCon",36
